外邦図_地図記号,外邦図_画像X(px),外邦図_画像Y(py),外邦図_緯度,外邦図_経度,現存結果,正解データ_種別,正解データ_固有名,正解データ_緯度,正解データ_経度,距離差_メートル
temple,1810.2330932617188,3618.149963378906,33.22391339869375,130.28118764396456,True,寺,名称不明,33.2241379681831,130.28139889240265,31.78
temple,1900.5650024414065,3107.1581268310547,33.24340518690504,130.28539641857824,True,寺,名称不明,33.24318315468944,130.28547316789627,25.7
temple,2356.894203186035,971.3766174316406,33.3250649099147,130.30611507619938,True,寺,名称不明,33.32426659991736,130.30579358339307,93.66
temple,5761.876892089844,2896.0762939453125,33.251433969286595,130.4611183791705,True,寺,名称不明,33.25111050861225,130.4611766338348,36.37
temple,2773.176147460937,1921.6856384277344,33.288687229162804,130.32522191615132,True,寺,名称不明,33.28942600350315,130.32504245638845,83.82
temple,1940.916030406952,2874.486694335937,33.25228629886154,130.28726302496517,True,寺,名称不明,33.25215464948635,130.28751969337463,28.0
temple,3779.05485534668,4059.6893348693848,33.20708138034016,130.37081114544054,True,寺,名称不明,33.20691992016322,130.37040397524834,41.92
temple,2611.2242889404297,4230.705627918243,33.20057036443492,130.3175662896794,True,寺,名称不明,33.200601148744575,130.3179024159908,31.46
temple,2547.115608215332,1844.5041198730469,33.291641111868586,130.31491417711234,True,寺,名称不明,33.290920338207144,130.3146220743656,84.62
temple,2093.4791259765625,4182.702789306641,33.20239897818445,130.29396837397536,True,寺,名称不明,33.20204201689132,130.2945953607559,70.56
temple,2642.180053710937,3094.5607299804688,33.24388259002432,130.31921940621,True,寺,名称不明,33.24373387554851,130.31887739896771,35.85
temple,4995.56201171875,4232.80194568634,33.20048425836019,130.42608122028062,True,寺,名称不明,33.19976287575802,130.42613759636882,80.39
temple,5130.839782714844,3330.7609329223637,33.234856168935515,130.4324230873674,True,寺,名称不明,33.23499035160961,130.4320800304413,35.22
temple,6447.678512573242,3499.585678100586,33.22840844089474,130.4921520341248,True,寺,坂東寺,33.227942176893954,130.49184098839757,59.37
temple,5698.428527832031,1377.932819366455,33.30945297640228,130.4581649034728,True,寺,名称不明,33.30877862766282,130.45790165662766,78.87
