epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1924.51,1.56999,1.13715,0.83314,0.67084,0.64436,0.63056,0.3574,1.7631,2.21472,0.86885,0.000540037,0.000540037,0.000540037
43,1969.29,1.57436,1.13919,0.83688,0.64747,0.66234,0.6357,0.3365,1.84388,2.10234,0.87894,0.000531038,0.000531038,0.000531038
44,2014.13,1.56042,1.13349,0.83695,0.67564,0.64432,0.64999,0.34,1.82508,2.0578,0.87432,0.000522039,0.000522039,0.000522039
45,2061.1,1.57835,1.13998,0.84135,0.64553,0.69603,0.65709,0.37014,1.81865,2.00862,0.87707,0.00051304,0.00051304,0.00051304
46,2108.01,1.55786,1.14753,0.84099,0.70426,0.72811,0.66442,0.35517,1.79573,1.92072,0.87396,0.00050404,0.00050404,0.00050404
47,2154.52,1.54942,1.14358,0.83561,0.69783,0.68629,0.64503,0.36805,1.72781,2.31525,0.86679,0.000495041,0.000495041,0.000495041
48,2198.84,1.50912,1.08525,0.8316,0.62108,0.70668,0.63568,0.34719,1.80376,2.42487,0.87631,0.000486042,0.000486042,0.000486042
49,2244.57,1.54295,1.12523,0.83964,0.68998,0.67582,0.66944,0.35608,1.7824,2.09149,0.86926,0.000477043,0.000477043,0.000477043
50,2291.09,1.57734,1.12365,0.83905,0.70198,0.63582,0.66656,0.3645,1.77941,2.10882,0.87468,0.000468044,0.000468044,0.000468044
51,2337.6,1.51723,1.13671,0.83751,0.67021,0.68786,0.66449,0.34518,1.79189,1.93254,0.87427,0.000459045,0.000459045,0.000459045
52,2384.55,1.52059,1.08434,0.83898,0.65219,0.66637,0.64768,0.35896,1.78631,1.97025,0.87417,0.000450046,0.000450046,0.000450046
53,2429.83,1.5117,1.08281,0.83284,0.65954,0.65378,0.64126,0.35253,1.79103,2.14196,0.87753,0.000441047,0.000441047,0.000441047
54,2474.23,1.50434,1.08094,0.83529,0.73269,0.63091,0.64195,0.34895,1.81471,1.97505,0.88058,0.000432048,0.000432048,0.000432048
55,2518.58,1.50189,1.10365,0.8376,0.67808,0.63477,0.63542,0.35367,1.68331,2.12055,0.86961,0.000423049,0.000423049,0.000423049
56,2562.97,1.51623,1.06775,0.8336,0.72035,0.67394,0.65114,0.37095,1.74934,2.13284,0.87389,0.000414049,0.000414049,0.000414049
57,2607.66,1.4955,1.06032,0.83685,0.70141,0.66144,0.64793,0.35111,1.8456,2.18599,0.87948,0.00040505,0.00040505,0.00040505
58,2651.91,1.49286,1.0789,0.83734,0.69174,0.6873,0.66072,0.34813,1.75267,2.17412,0.8719,0.000396051,0.000396051,0.000396051
59,2696.53,1.49184,1.05188,0.83487,0.68215,0.65943,0.65296,0.347,1.68923,2.10371,0.86647,0.000387052,0.000387052,0.000387052
60,2740.81,1.47635,1.0431,0.82908,0.62238,0.71564,0.62862,0.34567,1.77401,2.081,0.87596,0.000378053,0.000378053,0.000378053
61,2785.5,1.50537,1.04183,0.84002,0.70268,0.67151,0.65964,0.33509,1.77058,2.20258,0.87562,0.000369054,0.000369054,0.000369054
62,2829.98,1.46883,1.03199,0.82889,0.70869,0.62324,0.64806,0.34766,1.75785,2.10104,0.87275,0.000360055,0.000360055,0.000360055
63,2876.84,1.4981,1.0544,0.83299,0.71572,0.67857,0.66391,0.35838,1.79103,2.18939,0.87581,0.000351056,0.000351056,0.000351056
64,2923.35,1.46683,1.047,0.82949,0.7458,0.6455,0.66523,0.37284,1.78123,1.91522,0.8724,0.000342057,0.000342057,0.000342057
65,2969.7,1.48748,1.0487,0.83241,0.71016,0.6453,0.67548,0.36967,1.75153,1.80577,0.87277,0.000333058,0.000333058,0.000333058
66,3014.13,1.46716,1.06994,0.82965,0.74557,0.69625,0.67874,0.38174,1.72905,2.09613,0.86714,0.000324058,0.000324058,0.000324058
67,3058.67,1.47227,1.04926,0.83268,0.69599,0.7098,0.65956,0.35511,1.80554,2.12238,0.87705,0.000315059,0.000315059,0.000315059
68,3103.04,1.47312,1.0453,0.83434,0.71665,0.71036,0.66636,0.37799,1.72348,1.98626,0.86871,0.00030606,0.00030606,0.00030606
69,3147.68,1.49118,1.04301,0.83085,0.7732,0.65996,0.67695,0.36856,1.76941,1.99982,0.874,0.000297061,0.000297061,0.000297061
70,3192,1.45962,1.01984,0.83364,0.73576,0.70582,0.6652,0.36073,1.79851,2.07066,0.87782,0.000288062,0.000288062,0.000288062
71,3236.62,1.46054,1.02288,0.83258,0.70386,0.68616,0.68242,0.36762,1.7663,2.10706,0.87477,0.000279063,0.000279063,0.000279063
72,3280.79,1.47623,1.01908,0.83174,0.72941,0.734,0.68447,0.39411,1.68435,2.04718,0.86549,0.000270064,0.000270064,0.000270064
73,3325.56,1.46738,1.03354,0.82936,0.77698,0.63285,0.68089,0.37501,1.66715,1.88234,0.86461,0.000261065,0.000261065,0.000261065
74,3370.05,1.48401,1.02613,0.83261,0.71715,0.71714,0.66829,0.37298,1.7971,2.22778,0.87719,0.000252066,0.000252066,0.000252066
75,3414.59,1.48773,1.0296,0.83078,0.71087,0.67767,0.66334,0.37928,1.74219,2.13632,0.87077,0.000243067,0.000243067,0.000243067
76,3460.26,1.44064,0.99413,0.83374,0.7351,0.6983,0.68758,0.39211,1.64725,2.0632,0.86211,0.000234068,0.000234068,0.000234068
77,3507.35,1.43323,0.98528,0.83243,0.71112,0.71224,0.67639,0.38655,1.70454,2.09844,0.86773,0.000225068,0.000225068,0.000225068
78,3553.88,1.41821,0.97561,0.82787,0.72365,0.71624,0.66958,0.38084,1.71713,2.14427,0.86844,0.000216069,0.000216069,0.000216069
79,3599.32,1.45705,1.00236,0.83058,0.77878,0.67699,0.68474,0.37785,1.7147,2.09488,0.87052,0.00020707,0.00020707,0.00020707
80,3643.6,1.43509,0.99606,0.82878,0.75503,0.65193,0.67945,0.37595,1.75016,1.96162,0.87209,0.000198071,0.000198071,0.000198071
81,3688.18,1.45765,0.99804,0.82895,0.70239,0.73676,0.68008,0.37258,1.74415,2.08335,0.87119,0.000189072,0.000189072,0.000189072
82,3732.43,1.44181,0.98474,0.82764,0.74331,0.64235,0.6676,0.34672,1.88524,2.1035,0.8836,0.000180073,0.000180073,0.000180073
83,3776.96,1.41327,0.97281,0.83028,0.74338,0.63742,0.66179,0.37795,1.76135,1.92,0.87527,0.000171074,0.000171074,0.000171074
