P29_003,P29_004
"16001",札幌市立北野平小学校
"16001",札幌市立清田緑小学校
"16001",札幌市立平岡小学校
"16001",札幌市立真栄小学校
"16001",札幌市立平岡南小学校
"16001",札幌市立平岡中央小学校
"16001",札幌市立美しが丘小学校
"16001",札幌市立平岡公園小学校
"16001",札幌市立美しが丘緑小学校
"16001",函館市立弥生小学校
"16001",函館市立青柳小学校
"16001",函館市立あさひ小学校
"16001",函館市立中部小学校
"16001",函館市立北星小学校
"16001",函館市立八幡小学校
"16001",函館市立万年橋小学校
"16001",函館市立港小学校
"16001",函館市立中島小学校
"16001",函館市立千代田小学校
"16001",函館市立柏野小学校
"16001",函館市立大森浜小学校
"16001",函館市立駒場小学校
"16001",函館市立深堀小学校
"16001",函館市立日吉が丘小学校
"16001",函館市立北日吉小学校
"16001",函館市立湯川小学校
"16001",函館市立高丘小学校
"16001",函館市立上湯川小学校
"16001",函館市立旭岡小学校
"16001",函館市立鱒川小学校
"16001",函館市立桔梗小学校
"16001",函館市立中の沢小学校
"16001",函館市立北昭和小学校
"16001",函館市立昭和小学校
"16001",函館市立亀田小学校
"16001",函館市立赤川小学校
"16001",函館市立中央小学校
"16001",函館市立北美原小学校
"16001",函館市立鍛神小学校
"16001",函館市立神山小学校
"16001",函館市立東山小学校
"16001",函館市立本通小学校
"16001",函館市立南本通小学校
"16001",函館市立えさん小学校
"16001",函館市立椴法華小学校
"16001",函館市立銭亀沢小学校
"16001",函館市立南茅部小学校
"16001",小樽市立花園小学校
"16001",小樽市立稲穂小学校
"16001",小樽市立長橋小学校
"16001",小樽市立潮見台小学校
"16001",小樽市立高島小学校
"16001",小樽市立奥沢小学校
"16001",小樽市立銭函小学校
"16001",小樽市立忍路中央小学校
"16001",小樽市立桜小学校
"16001",小樽市立朝里小学校
"16001",小樽市立塩谷小学校
"16001",小樽市立張碓小学校
"16001",小樽市立幸小学校
"16001",小樽市立桂岡小学校
"16001",小樽市立望洋台小学校
"16001",小樽市立手宮中央小学校
"16001",小樽市立山の手小学校
"16001",旭川市立日章小学校
"16001",旭川市立朝日小学校
"16001",旭川市立青雲小学校
"16001",旭川市立大有小学校
"16001",旭川市立啓明小学校
"16001",旭川市立正和小学校
"16001",旭川市立春光小学校
"16001",旭川市立北鎮小学校
"16001",旭川市立高台小学校
"16001",旭川市立近文小学校
"16001",旭川市立東五条小学校
"16001",旭川市立向陵小学校
"16001",旭川市立新町小学校
"16001",旭川市立東町小学校
"16001",旭川市立大町小学校
"16001",旭川市立新富小学校
"16001",旭川市立千代田小学校
"16001",旭川市立神居小学校
"16001",旭川市立雨紛小学校
"16001",旭川市立富沢小学校
"16001",旭川市立台場小学校
"16001",旭川市立江丹別小学校
"16001",旭川市立嵐山小学校
"16001",旭川市立永山小学校
"16001",旭川市立永山東小学校
"16001",旭川市立永山西小学校
"16001",旭川市立旭川小学校
"16001",旭川市立旭川第三小学校
"16001",旭川市立旭川第五小学校
"16001",旭川市立豊岡小学校
"16001",旭川市立神楽小学校
"16001",旭川市立西神楽小学校
"16001",旭川市立西御料地小学校
"16001",旭川市立神楽岡小学校
"16001",旭川市立北光小学校
"16001",旭川市立知新小学校
"16001",旭川市立東栄小学校
"16001",旭川市立末広小学校
"16001",旭川市立愛宕小学校
"16001",旭川市立緑が丘小学校
"16001",旭川市立神居東小学校
"16001",旭川市立東光小学校
"16001",旭川市立陵雲小学校
"16001",旭川市立忠和小学校
"16001",旭川市立近文第一小学校
"16001",旭川市立近文第二小学校
"16001",旭川市立永山南小学校
"16001",旭川市立末広北小学校
"16001",旭川市立緑新小学校
"16001",旭川市立愛宕東小学校
"16001",旭川市立共栄小学校
"16001",室蘭市立喜門岱小学校
"16001",室蘭市立八丁平小学校
"16001",室蘭市立海陽小学校
"16001",室蘭市立地球岬小学校
"16001",室蘭市立旭ヶ丘小学校
"16001",室蘭市立みなと小学校
"16001",室蘭市立蘭北小学校
"16001",室蘭市立白蘭小学校
"16001",室蘭市立天神小学校
"16001",釧路市立城山小学校
"16001",釧路市立湖畔小学校
"16001",釧路市立桜が丘小学校
"16001",釧路市立鳥取小学校
"16001",釧路市立共栄小学校
"16001",釧路市立朝陽小学校
"16001",釧路市立光陽小学校
"16001",釧路市立大楽毛小学校
"16001",釧路市立清明小学校
"16001",釧路市立新陽小学校
"16001",釧路市立山花小学校
"16001",釧路市立愛国小学校
"16001",釧路市立鳥取西小学校
"16001",釧路市立武佐小学校
"16001",釧路市立美原小学校
"16001",釧路市立昭和小学校
"16001",釧路市立阿寒小学校
"16001",釧路市立音別小学校
"16001",釧路市立興津小学校
"16001",釧路市立鶴野小学校
"16001",釧路市立芦野小学校
"16001",釧路市立東雲小学校
"16001",釧路市立中央小学校
"16001",釧路市立青葉小学校
"16001",釧路市立釧路小学校
"16001",帯広市立西小学校
"16001",帯広市立川西小学校
"16001",帯広市立清川小学校
"16001",帯広市立広野小学校
"16001",帯広市立大正小学校
"16001",帯広市立愛国小学校
"16001",帯広市立帯広小学校
"16001",帯広市立柏小学校
"16001",帯広市立明星小学校
"16001",帯広市立緑丘小学校
"16001",帯広市立北栄小学校
"16001",帯広市立光南小学校
"16001",帯広市立東小学校
"16001",帯広市立稲田小学校
"16001",帯広市立啓西小学校
"16001",帯広市立豊成小学校
"16001",帯広市立栄小学校
"16001",帯広市立若葉小学校
"16001",帯広市立広陽小学校
"16001",帯広市立花園小学校
"16001",帯広市立啓北小学校
"16001",帯広市立開西小学校
"16001",帯広市立明和小学校
"16001",帯広市立森の里小学校
"16001",帯広市立つつじが丘小学校
"16001",北見市立中央小学校
"16001",北見市立東小学校
"16001",北見市立西小学校
"16001",北見市立南小学校
"16001",北見市立北小学校
"16001",北見市立上常呂小学校
"16001",北見市立相内小学校
"16001",北見市立東相内小学校
"16001",北見市立豊地小学校
"16001",北見市立大正小学校
"16001",北見市立若松小学校
"16001",北見市立小泉小学校
"16001",北見市立三輪小学校
"16001",北見市立高栄小学校
"16001",北見市立端野小学校
"16001",北見市立留辺蘂小学校
"16001",北見市立常呂小学校
"16001",北見市立錦水小学校
"16001",北見市立川沿小学校
"16001",北見市立北光小学校
"16001",北見市立緑小学校
"16001",北見市立美山小学校
"16001",夕張市立ゆうばり小学校
"16001",岩見沢市立岩見沢小学校
"16001",岩見沢市立中央小学校
"16001",岩見沢市立南小学校
"16001",岩見沢市立志文小学校
"16001",岩見沢市立幌向小学校
"16001",岩見沢市立東小学校
"16001",岩見沢市立メープル小学校
"16001",岩見沢市立美園小学校
"16001",岩見沢市立日の出小学校
"16001",岩見沢市立第一小学校
"16001",岩見沢市立第二小学校
"16001",岩見沢市立栗沢小学校
"16001",岩見沢市立北真小学校
"16001",岩見沢市立北村小学校
