名称,種別,緯度,経度,annoCtg,ftCode,source_layer
名称不明,神社,33.31879457215131,130.25086194276813,,3231,symbol
名称不明,神社,33.31833285759363,130.25253698229793,,3231,symbol
名称不明,神社,33.3147298311046,130.2522969245911,,3231,symbol
名称不明,寺,33.29574508214351,130.25038585066798,,3232,symbol
名称不明,神社,33.29098759948242,130.2512173354626,,3231,symbol
名称不明,寺,33.287233219981424,130.25163710117343,,3232,symbol
名称不明,神社,33.286271337431,130.25375336408618,,3231,symbol
名称不明,神社,33.27255943479761,130.25253564119342,,3231,symbol
名称不明,寺,33.27215914494381,130.2539558708668,,3232,symbol
名称不明,寺,33.269684483176675,130.2508927881718,,3232,symbol
名称不明,神社,33.26924717724948,130.25317132472995,,3231,symbol
名称不明,神社,33.25541484579438,130.25279313325885,,3231,symbol
名称不明,寺,33.254159903308036,130.25353208184245,,3232,symbol
名称不明,寺,33.247598918610535,130.25169745087626,,3232,symbol
名称不明,寺,33.24354095539801,130.25155261158946,,3232,symbol
名称不明,寺,33.24332223727055,130.2526389062405,,3232,symbol
名称不明,寺,33.24318427632406,130.25029063224795,,3232,symbol
名称不明,寺,33.24132682969865,130.25319546461108,,3232,symbol
名称不明,寺,33.24207272937199,130.25322362780574,,3232,symbol
名称不明,寺,33.24133580296564,130.25360718369487,,3232,symbol
名称不明,神社,33.226008120359886,130.25321021676066,,3231,symbol
名称不明,神社,33.21950111970278,130.2503348886967,,3231,symbol
万寿寺,寺,33.327248447068555,130.25623306632045,662.0,100,label
名称不明,神社,33.325281851328135,130.2581857144833,,3231,symbol
名称不明,神社,33.30778111690444,130.256242454052,,3231,symbol
名称不明,寺,33.30680713190629,130.2578075230122,,3232,symbol
名称不明,神社,33.3056504405392,130.25742262601855,,3231,symbol
名称不明,神社,33.292496480462646,130.25659248232844,,3231,symbol
名称不明,神社,33.29049322789922,130.25440245866778,,3231,symbol
名称不明,神社,33.272908145191394,130.25409266352656,,3231,symbol
名称不明,寺,33.27140901699899,130.25532916188243,,3232,symbol
名称不明,神社,33.27520556245783,130.25814548134807,,3231,symbol
名称不明,寺,33.271984227792906,130.25784909725192,,3232,symbol
名称不明,神社,33.269664299874414,130.25572612881663,,3231,symbol
名称不明,神社,33.270098239845424,130.2580060064793,,3231,symbol
名称不明,寺,33.26912944066415,130.25898903608325,,3232,symbol
名称不明,神社,33.25400401553869,130.25900110602382,,3231,symbol
名称不明,寺,33.24937772313208,130.25747358798984,,3232,symbol
名称不明,神社,33.247167110034255,130.25695994496348,,3231,symbol
名称不明,神社,33.24214675816534,130.25415033102038,,3231,symbol
名称不明,寺,33.237768856760106,130.25549009442332,,3232,symbol
名称不明,神社,33.22396519865801,130.25792956352237,,3231,symbol
名称不明,神社,33.219031026255074,130.25702029466632,,3231,symbol
名称不明,寺,33.33404546691602,130.2609966695309,,3232,symbol
名称不明,神社,33.32008108427885,130.2610878646374,,3231,symbol
名称不明,寺,33.318944740922085,130.26058763265613,,3232,symbol
名称不明,神社,33.309826562067,130.26326045393947,,3231,symbol
名称不明,神社,33.30309602608601,130.2600431442261,,3231,symbol
名称不明,寺,33.30610101400059,130.26396453380585,,3232,symbol
名称不明,神社,33.295967031880934,130.26462972164157,,3231,symbol
名称不明,寺,33.289130048207625,130.26106640696528,,3232,symbol
名称不明,神社,33.28907511700067,130.26189118623736,,3231,symbol
名称不明,寺,33.27735267914041,130.2643628418446,,3232,symbol
名称不明,神社,33.27087977487081,130.26334762573245,,3231,symbol
名称不明,寺,33.26030995853589,130.26304453611377,,3232,symbol
名称不明,神社,33.25787869741849,130.26331275701526,,3231,symbol
