名称,種別,緯度,経度,annoCtg,ftCode,source_layer
名称不明,寺,33.29574508214351,130.25038585066798,,3232,symbol
名称不明,寺,33.287233219981424,130.25163710117343,,3232,symbol
名称不明,寺,33.27215914494381,130.2539558708668,,3232,symbol
名称不明,寺,33.269684483176675,130.2508927881718,,3232,symbol
名称不明,寺,33.254159903308036,130.25353208184245,,3232,symbol
名称不明,寺,33.247598918610535,130.25169745087626,,3232,symbol
名称不明,寺,33.24354095539801,130.25155261158946,,3232,symbol
名称不明,寺,33.24332223727055,130.2526389062405,,3232,symbol
名称不明,寺,33.24318427632406,130.25029063224795,,3232,symbol
名称不明,寺,33.24132682969865,130.25319546461108,,3232,symbol
名称不明,寺,33.24207272937199,130.25322362780574,,3232,symbol
名称不明,寺,33.24133580296564,130.25360718369487,,3232,symbol
万寿寺,寺,33.327248447068555,130.25623306632045,662.0,100,label
名称不明,寺,33.30680713190629,130.2578075230122,,3232,symbol
名称不明,寺,33.27140901699899,130.25532916188243,,3232,symbol
名称不明,寺,33.271984227792906,130.25784909725192,,3232,symbol
名称不明,寺,33.26912944066415,130.25898903608325,,3232,symbol
名称不明,寺,33.24937772313208,130.25747358798984,,3232,symbol
名称不明,寺,33.237768856760106,130.25549009442332,,3232,symbol
名称不明,寺,33.33404546691602,130.2609966695309,,3232,symbol
名称不明,寺,33.318944740922085,130.26058763265613,,3232,symbol
名称不明,寺,33.30610101400059,130.26396453380585,,3232,symbol
名称不明,寺,33.289130048207625,130.26106640696528,,3232,symbol
名称不明,寺,33.27735267914041,130.2643628418446,,3232,symbol
名称不明,寺,33.26030995853589,130.26304453611377,,3232,symbol
名称不明,寺,33.257453668347054,130.2628916501999,,3232,symbol
名称不明,寺,33.235617401867174,130.26038914918902,,3232,symbol
名称不明,寺,33.235555706602995,130.26108250021937,,3232,symbol
名称不明,寺,33.234946603749414,130.26166990399363,,3232,symbol
名称不明,寺,33.3312655431649,130.26738703250885,,3232,symbol
名称不明,寺,33.32695149955954,130.26674062013626,,3232,symbol
名称不明,寺,33.32887883894466,130.2690888941288,,3232,symbol
実相院,寺,33.32756780458094,130.2671751379967,662.0,100,label
名称不明,寺,33.3061861967814,130.2668009698391,,3232,symbol
名称不明,寺,33.290772363219055,130.26605397462845,,3232,symbol
名称不明,寺,33.25632323795684,130.26797980070114,,3232,symbol
名称不明,寺,33.245722498562806,130.26858732104304,,3232,symbol
名称不明,寺,33.23669874452031,130.26749432086947,,3232,symbol
名称不明,寺,33.23762640022606,130.26871740818027,,3232,symbol
名称不明,寺,33.23457755041662,130.26972725987437,,3232,symbol
名称不明,寺,33.23291062142873,130.26665881276134,,3232,symbol
名称不明,寺,33.23187522490858,130.26997268199923,,3232,symbol
名称不明,寺,33.23081962385371,130.2692149579525,,3232,symbol
名称不明,寺,33.220066574823356,130.2667446434498,,3232,symbol
