name,latitude,longitude,px,py_original
Top-Left,33.3367816871581,130.2502924760952,1135,666
Top-Right,33.337196346631195,130.50064200448085,6639,653
Bottom-Right,33.17007285357129,130.5008844589227,6650,5032
Bottom-Left,33.1698824976206,130.24966253326372,1130,5037
