名称,種別,緯度,経度,ftCode,source_layer
,果樹園,33.31889319047771,130.2502624690533,6314,symbol
,果樹園,33.317968639287315,130.2505668997765,6314,symbol
,畑,33.31727605997107,130.25075867772105,6312,symbol
,果樹園,33.32048787815159,130.25241896510127,6314,symbol
,果樹園,33.31995893368195,130.2517752349377,6314,symbol
,果樹園,33.31932688565697,130.25233849883082,6314,symbol
,果樹園,33.32024918115066,130.2533228695393,6314,symbol
,果樹園,33.31945464041458,130.25368228554728,6314,symbol
,果樹園,33.31882034740647,130.2517014741898,6314,symbol
,果樹園,33.31822191125536,130.2516867220402,6314,symbol
,畑,33.317618988281474,130.25229558348659,6312,symbol
,果樹園,33.31888982849114,130.25333225727084,6314,symbol
,果樹園,33.31811544746465,130.25378689169887,6314,symbol
,田,33.3174206279527,130.25301307439807,6311,symbol
,果樹園,33.31704631966204,130.2535924315453,6314,symbol
,田,33.31731976659545,130.2539733052254,6311,symbol
,果樹園,33.31574743501397,130.25038182735446,6314,symbol
,田,33.31450232552214,130.25057360529902,6311,symbol
,田,33.31401593228539,130.25104299187663,6311,symbol
,田,33.31334685697045,130.2507117390633,6311,symbol
,田,33.31286269876642,130.25109797716144,6311,symbol
,畑,33.312366209667665,130.25060981512073,6312,symbol
,畑,33.3162293358043,130.2530358731747,6312,symbol
,果樹園,33.315834849773736,130.25372654199603,6314,symbol
,果樹園,33.31529242856679,130.25346502661708,6314,symbol
,果樹園,33.313628160617945,130.25164380669597,6314,symbol
,田,33.313689800738175,130.25233045220378,6311,symbol
,果樹園,33.31336254723764,130.2528588473797,6314,symbol
,畑,33.313888169556584,130.2535253763199,6312,symbol
,果樹園,33.31233370802534,130.25313779711726,6314,symbol
,畑,33.31065369284203,130.25088340044024,6312,symbol
,田,33.30961025150498,130.25029197335246,6311,symbol
,田,33.30917090404833,130.25101616978648,6311,symbol
,田,33.311153553978066,130.25130316615108,6311,symbol
,畑,33.311882046017665,130.25216013193133,6312,symbol
,果樹園,33.31122864497737,130.2520997822285,6314,symbol
,畑,33.310696282019116,130.25175377726558,6312,symbol
,田,33.31014934574204,130.25139167904857,6311,symbol
,田,33.310145983418245,130.2523894608021,6311,symbol
,田,33.3119717061557,130.2529822289944,6311,symbol
,田,33.31127907919434,130.25335773825648,6311,symbol
,田,33.310203142905024,130.25356963276866,6311,symbol
,田,33.30889406918237,130.25165587663653,6311,symbol
