名称,種別,緯度,経度,annoCtg,ftCode,source_layer
名称不明,神社,33.31879457215131,130.25086194276813,,3231,symbol
名称不明,神社,33.31833285759363,130.25253698229793,,3231,symbol
名称不明,神社,33.3147298311046,130.2522969245911,,3231,symbol
名称不明,神社,33.29098759948242,130.2512173354626,,3231,symbol
名称不明,神社,33.286271337431,130.25375336408618,,3231,symbol
名称不明,神社,33.27255943479761,130.25253564119342,,3231,symbol
名称不明,神社,33.26924717724948,130.25317132472995,,3231,symbol
名称不明,神社,33.25541484579438,130.25279313325885,,3231,symbol
名称不明,神社,33.226008120359886,130.25321021676066,,3231,symbol
名称不明,神社,33.21950111970278,130.2503348886967,,3231,symbol
名称不明,神社,33.325281851328135,130.2581857144833,,3231,symbol
名称不明,神社,33.30778111690444,130.256242454052,,3231,symbol
名称不明,神社,33.3056504405392,130.25742262601855,,3231,symbol
名称不明,神社,33.292496480462646,130.25659248232844,,3231,symbol
名称不明,神社,33.29049322789922,130.25440245866778,,3231,symbol
名称不明,神社,33.272908145191394,130.25409266352656,,3231,symbol
名称不明,神社,33.27520556245783,130.25814548134807,,3231,symbol
名称不明,神社,33.269664299874414,130.25572612881663,,3231,symbol
名称不明,神社,33.270098239845424,130.2580060064793,,3231,symbol
名称不明,神社,33.25400401553869,130.25900110602382,,3231,symbol
名称不明,神社,33.247167110034255,130.25695994496348,,3231,symbol
名称不明,神社,33.24214675816534,130.25415033102038,,3231,symbol
名称不明,神社,33.22396519865801,130.25792956352237,,3231,symbol
名称不明,神社,33.219031026255074,130.25702029466632,,3231,symbol
名称不明,神社,33.32008108427885,130.2610878646374,,3231,symbol
名称不明,神社,33.309826562067,130.26326045393947,,3231,symbol
名称不明,神社,33.30309602608601,130.2600431442261,,3231,symbol
名称不明,神社,33.295967031880934,130.26462972164157,,3231,symbol
名称不明,神社,33.28907511700067,130.26189118623736,,3231,symbol
名称不明,神社,33.27087977487081,130.26334762573245,,3231,symbol
名称不明,神社,33.25787869741849,130.26331275701526,,3231,symbol
名称不明,神社,33.32635311924074,130.26865974068645,,3231,symbol
名称不明,神社,33.31387808301739,130.2661371231079,,3231,symbol
名称不明,神社,33.307394438316656,130.266330242157,,3231,symbol
名称不明,神社,33.288841939247405,130.26567846536636,,3231,symbol
名称不明,神社,33.26126315591512,130.26749029755595,,3231,symbol
名称不明,神社,33.245613703098556,130.27047291398048,,3231,symbol
名称不明,神社,33.23265373654497,130.2679301798344,,3231,symbol
名称不明,神社,33.23096770043417,130.2678067982197,,3231,symbol
名称不明,神社,33.22246971831437,130.2670007944107,,3231,symbol
名称不明,神社,33.33187733569045,130.2707934379578,,3231,symbol
名称不明,神社,33.321935735152955,130.27557983994484,,3231,symbol
名称不明,神社,33.3203657281248,130.2718783915043,,3231,symbol
名称不明,神社,33.300195178626105,130.27506485581398,,3231,symbol
名称不明,神社,33.24080077031248,130.27249127626422,,3231,symbol
名称不明,神社,33.232432747635066,130.27154043316844,,3231,symbol
名称不明,神社,33.22358488012451,130.274256169796,,3231,symbol
名称不明,神社,33.2018613485875,130.27326777577403,,3231,symbol
名称不明,神社,33.32582533094225,130.2777859568596,,3231,symbol
名称不明,神社,33.31658571653566,130.2787354588509,,3231,symbol
名称不明,神社,33.312741658795304,130.28077125549316,,3231,symbol
名称不明,神社,33.30898149081397,130.27729377150538,,3231,symbol
名称不明,神社,33.30634759550627,130.2761323750019,,3231,symbol
名称不明,神社,33.300365555641434,130.27805417776108,,3231,symbol
名称不明,神社,33.29516778599014,130.2781789004803,,3231,symbol
名称不明,神社,33.28934977268969,130.2761323750019,,3231,symbol
